Timestamp;PIDout;MotorSpeed;DrivePower
0;1.200000E+001;0.000000E+000;8.208620E-001
1089;1.200000E+001;0.000000E+000;8.208620E-001
2090;1.200000E+001;0.000000E+000;8.208620E-001
3086;1.200000E+001;0.000000E+000;8.208620E-001
4088;1.200000E+001;0.000000E+000;8.208620E-001
5092;1.200000E+001;0.000000E+000;8.208620E-001
6085;1.200000E+001;0.000000E+000;8.208620E-001
7089;1.200000E+001;0.000000E+000;8.208620E-001
8090;1.200000E+001;0.000000E+000;8.208620E-001
9086;1.200000E+001;0.000000E+000;8.208620E-001
10089;1.200000E+001;0.000000E+000;8.208620E-001
11092;1.200000E+001;0.000000E+000;8.208620E-001
12092;1.200000E+001;0.000000E+000;8.208620E-001
13087;1.200000E+001;0.000000E+000;8.208620E-001
14088;1.200000E+001;0.000000E+000;8.208620E-001
15091;1.200000E+001;0.000000E+000;8.208620E-001
16092;1.200000E+001;0.000000E+000;8.201140E-001
17087;1.200000E+001;0.000000E+000;8.201140E-001
18088;1.200000E+001;0.000000E+000;8.201140E-001
19091;1.200000E+001;0.000000E+000;8.201140E-001
20132;1.200000E+001;0.000000E+000;8.201140E-001
21091;1.200000E+001;0.000000E+000;8.201140E-001
22091;1.200000E+001;0.000000E+000;8.201140E-001
23087;1.200000E+001;0.000000E+000;8.201140E-001
24087;1.200000E+001;0.000000E+000;8.201140E-001
25091;1.200000E+001;0.000000E+000;8.201140E-001
26091;1.200000E+001;0.000000E+000;8.201140E-001
27087;1.200000E+001;0.000000E+000;8.201140E-001
28087;1.200000E+001;0.000000E+000;8.201140E-001
29090;1.200000E+001;0.000000E+000;8.201140E-001
30086;1.200000E+001;0.000000E+000;8.201140E-001
31089;1.200000E+001;0.000000E+000;8.201140E-001
32107;1.200000E+001;0.000000E+000;8.201140E-001
33092;1.200000E+001;0.000000E+000;8.201140E-001
34085;1.200000E+001;0.000000E+000;8.201140E-001
35088;1.200000E+001;0.000000E+000;8.201140E-001
36089;1.200000E+001;0.000000E+000;8.201140E-001
37084;1.200000E+001;0.000000E+000;8.201140E-001
38085;1.200000E+001;0.000000E+000;8.201140E-001
39088;1.200000E+001;0.000000E+000;8.201140E-001
40091;1.200000E+001;0.000000E+000;8.201140E-001
41087;1.200000E+001;0.000000E+000;8.201140E-001
42087;1.200000E+001;0.000000E+000;8.201140E-001
43091;1.200000E+001;0.000000E+000;8.201140E-001
44101;1.200000E+001;0.000000E+000;8.201140E-001
45087;1.200000E+001;0.000000E+000;8.201140E-001
46092;1.200000E+001;0.000000E+000;8.201140E-001
47085;1.200000E+001;0.000000E+000;8.201140E-001
48089;1.200000E+001;0.000000E+000;8.201140E-001
49090;1.200000E+001;0.000000E+000;8.201140E-001
50089;1.200000E+001;0.000000E+000;8.201140E-001
51090;1.200000E+001;0.000000E+000;8.201140E-001
52087;1.200000E+001;0.000000E+000;8.214400E-001
53088;1.200000E+001;0.000000E+000;8.214400E-001
54173;1.200000E+001;0.000000E+000;8.214400E-001
55085;1.200000E+001;0.000000E+000;8.214400E-001
56087;1.200000E+001;0.000000E+000;8.214400E-001
57091;1.200000E+001;0.000000E+000;8.214400E-001
58084;1.200000E+001;0.000000E+000;8.214400E-001
59088;1.200000E+001;0.000000E+000;8.214400E-001
60084;1.200000E+001;0.000000E+000;8.214400E-001
61088;1.200000E+001;0.000000E+000;8.214400E-001
62090;1.200000E+001;0.000000E+000;8.214400E-001
63086;1.200000E+001;0.000000E+000;8.214400E-001
64087;1.200000E+001;0.000000E+000;8.214400E-001
65157;1.200000E+001;0.000000E+000;8.214400E-001
66090;1.200000E+001;0.000000E+000;8.214400E-001
67091;1.200000E+001;0.000000E+000;8.214400E-001
68087;1.200000E+001;0.000000E+000;8.214400E-001
69088;1.200000E+001;0.000000E+000;8.214400E-001
70087;1.200000E+001;0.000000E+000;8.214400E-001
