Timestamp;PIDout;MotorSpeed;DrivePower
0;0.000000E+000;0.000000E+000;8.750520E-001
1084;0.000000E+000;0.000000E+000;8.750520E-001
2085;0.000000E+000;0.000000E+000;8.750520E-001
3085;0.000000E+000;0.000000E+000;8.750520E-001
4088;0.000000E+000;0.000000E+000;8.750520E-001
5085;0.000000E+000;0.000000E+000;8.750520E-001
6084;0.000000E+000;0.000000E+000;8.750520E-001
7087;0.000000E+000;0.000000E+000;8.750520E-001
8087;0.000000E+000;0.000000E+000;8.750520E-001
9091;0.000000E+000;0.000000E+000;8.750520E-001
10091;0.000000E+000;0.000000E+000;8.750520E-001
11087;0.000000E+000;0.000000E+000;8.750520E-001
12087;0.000000E+000;0.000000E+000;8.750520E-001
13090;0.000000E+000;0.000000E+000;8.750520E-001
14086;0.000000E+000;0.000000E+000;8.750520E-001
15089;0.000000E+000;0.000000E+000;8.750520E-001
16089;0.000000E+000;0.000000E+000;8.750520E-001
17085;0.000000E+000;0.000000E+000;8.750520E-001
18085;0.000000E+000;0.000000E+000;8.750520E-001
19089;0.000000E+000;0.000000E+000;8.750520E-001
20089;0.000000E+000;0.000000E+000;8.750520E-001
21105;0.000000E+000;0.000000E+000;8.750520E-001
22090;0.000000E+000;0.000000E+000;8.750520E-001
23085;0.000000E+000;0.000000E+000;8.750520E-001
24088;0.000000E+000;0.000000E+000;8.750520E-001
25092;0.000000E+000;0.000000E+000;8.750520E-001
26085;0.000000E+000;0.000000E+000;8.750520E-001
27088;0.000000E+000;0.000000E+000;8.750520E-001
28088;0.000000E+000;0.000000E+000;8.750520E-001
29092;0.000000E+000;0.000000E+000;8.750520E-001
30092;0.000000E+000;0.000000E+000;8.750520E-001
31088;0.000000E+000;0.000000E+000;8.752320E-001
32138;0.000000E+000;0.000000E+000;8.752320E-001
33092;0.000000E+000;0.000000E+000;8.752320E-001
34088;0.000000E+000;0.000000E+000;8.752320E-001
35091;0.000000E+000;0.000000E+000;8.752320E-001
36092;0.000000E+000;0.000000E+000;8.752320E-001
37088;0.000000E+000;0.000000E+000;8.752320E-001
38088;0.000000E+000;0.000000E+000;8.752320E-001
39091;0.000000E+000;0.000000E+000;8.752320E-001
40092;0.000000E+000;0.000000E+000;8.752320E-001
41088;0.000000E+000;0.000000E+000;8.752320E-001
42089;0.000000E+000;0.000000E+000;8.752320E-001
43086;0.000000E+000;0.000000E+000;8.752320E-001
44119;0.000000E+000;0.000000E+000;8.752320E-001
45091;0.000000E+000;0.000000E+000;8.752320E-001
46085;0.000000E+000;0.000000E+000;8.752320E-001
47089;0.000000E+000;0.000000E+000;8.752320E-001
48090;0.000000E+000;0.000000E+000;8.752320E-001
49086;0.000000E+000;0.000000E+000;8.752320E-001
50087;0.000000E+000;0.000000E+000;8.752320E-001
51091;0.000000E+000;0.000000E+000;8.752320E-001
52085;0.000000E+000;0.000000E+000;8.752320E-001
53089;0.000000E+000;0.000000E+000;8.752320E-001
54085;0.000000E+000;0.000000E+000;8.752320E-001
55124;0.000000E+000;0.000000E+000;8.752320E-001
56091;0.000000E+000;0.000000E+000;8.752320E-001
57085;0.000000E+000;0.000000E+000;8.752320E-001
58089;0.000000E+000;0.000000E+000;8.752320E-001
59090;0.000000E+000;0.000000E+000;8.752320E-001
60086;0.000000E+000;0.000000E+000;8.752320E-001
61087;0.000000E+000;0.000000E+000;8.752320E-001
62091;0.000000E+000;0.000000E+000;8.752320E-001
63085;0.000000E+000;0.000000E+000;8.752320E-001
64092;0.000000E+000;0.000000E+000;8.752320E-001
65085;0.000000E+000;0.000000E+000;8.752320E-001
66089;0.000000E+000;0.000000E+000;8.752320E-001
67133;0.000000E+000;0.000000E+000;8.752680E-001
68086;0.000000E+000;0.000000E+000;8.509550E-001
69087;0.000000E+000;0.000000E+000;8.509550E-001
70091;0.000000E+000;0.000000E+000;8.509550E-001
71092;0.000000E+000;0.000000E+000;8.509550E-001
72086;0.000000E+000;0.000000E+000;8.509550E-001
73086;0.000000E+000;0.000000E+000;8.509550E-001
74085;0.000000E+000;0.000000E+000;8.509550E-001
75085;0.000000E+000;0.000000E+000;8.509550E-001
76088;0.000000E+000;0.000000E+000;8.509550E-001
77089;0.000000E+000;0.000000E+000;8.509550E-001
78119;0.000000E+000;0.000000E+000;8.509550E-001
79100;0.000000E+000;0.000000E+000;8.509550E-001
80085;0.000000E+000;0.000000E+000;8.509550E-001
81089;0.000000E+000;0.000000E+000;8.509550E-001
82089;0.000000E+000;0.000000E+000;8.509550E-001
83085;0.000000E+000;0.000000E+000;8.509550E-001
